"Gericht_Id","Gericht_Bezeichnung","Gericht_Kurzbezeichnung","Gericht_Hoechstgericht","Gericht_Staat","Gericht_Teilrechtsordnung"
131,Hoge Raad,HR,1,17,15
132,Rechtbank-Hertogenbosch,Rechtbank-Hertogenbosch,0,17,15
133,Gerechtshof,Gerechtshof,0,17,15
134,European Court of Human Rights ,ECtHR,0,23,21
135,Sofia Court of Appeal,SCA,0,29,57
136,Sofia District Court,SDC,0,29,57
137,Supreme Court,UKSC,1,27,26
138,Cour d'Appel,CA Paris,0,8,7
139,Tribunal Terni,T. Terni,0,14,12
140,Court of Appeal The Hague,CA Hague,0,17,15
141,"Sheriffdom of Lothian & Borders, at
Edinburgh",Sh. Edinburgh,0,27,27
142,Supreme Administrative Court,SAC,0,29,57
143,Landgericht Nürnberg-Fürth,OLG Nürnberg-Fürth,0,9,8
144,Corte d’Appello di Milano,CA Milano,0,14,12
145,Hof Arnhem,Arnhem CA,0,17,15
146,Supreme Court of Justice,SCJ,0,20,18
147,Obergericht des Kantons Bern,OKB,0,26,24
148,Obergericht des Kantons Zürich,OKZ,0,26,24
149,Schweizerisches Bundesgericht,SB,0,26,24
150,Supreme Court,SC,1,31,59
151,Court of Appeal Ghent,Court of Appeal Ghent,0,2,2
152,Eidsivating lagmannsrett,Court of Appeal,0,18,16
153,Municipal Court of Prague,MSP,0,3,3
154,Bourgas District Court,BDC,0,29,57
155,Pretura di Grosseto,Pretura di Grosseto,0,14,12
156,Sø- og Handelsretten (Maritime and Commercial Court),SH,0,4,4
157,Senate of the Supreme Court,SKK,0,15,13
158,Reichsgericht,Reichsgericht,0,9,8
159,Burgerlijke Rechtbank,CFI Brussels,0,2,2
160,Corte di Appello di Roma,Court of Appeal of Rome,1,14,12
161,Okresní soud Brno (Brno Regional Court),Brno Regional Court,0,22,20
162,Veliko Tarnovo District Court,VTDC,0,29,57
163,Tribunal Superior de Justicia Catalonia,Superior Court of Catalonia,0,24,22
164,Landgericht Berlin,LG Berlin,0,9,8
165,Burgerlijke Rechtbank Kortrijk,Tribunal of First Instance Kortrijk,0,2,2
166,Court of Exchequer,Exchequer ,0,27,26
167,Amtsgericht (Local Court) Frankfurt,Amtsgericht Frankfurt,0,9,8
168,Audiencia Provincial Pontevedra ,APP,0,24,22
169,Saa˛d Apelacyjny (Court of Appeal) Rzeszow,SA Rzeszow,0,19,17
170,Oberlandesgericht (Regional Supreme Court) Cologne,OLG Cologne,0,9,8
171,Eirinodikeio Halandriou (Halandri Justice of the Peace),EH,0,10,9
172,Justice de paix (Cantonal Court) Saint-Gilles,JP Saint-Gilles,0,2,2
173,Pretura di Salerno (District Court of Salerno),Pretura Salerno,0,14,12
