"ENAUT_Id","ENAUT_Entscheidung","ENAUT_Autor"
534,497,31
535,497,32
536,498,31
537,498,32
538,499,31
539,499,32
540,500,31
541,500,32
542,501,31
543,501,32
544,502,31
545,502,32
546,503,31
547,503,32
548,504,31
549,504,32
550,505,31
551,505,32
552,506,31
553,506,32
554,507,31
555,507,32
556,508,31
557,508,32
558,509,31
559,509,32
560,510,31
561,510,32
562,511,31
563,511,32
564,512,31
565,512,32
566,513,31
567,513,32
568,514,31
569,514,32
570,515,31
571,515,32
572,516,31
573,516,32
574,517,31
575,517,32
576,518,31
577,518,32
578,519,31
579,519,32
580,520,31
581,520,32
582,521,31
583,521,32
584,522,31
585,522,32
586,523,31
587,523,32
588,525,30
589,525,33
590,524,30
591,524,33
592,526,30
593,526,33
594,527,30
595,527,33
596,528,30
597,528,33
598,529,30
599,529,33
600,530,33
601,530,30
602,531,30
603,531,33
604,532,33
605,533,33
606,534,33
607,535,33
608,536,33
609,537,33
610,538,35
611,539,35
612,540,35
613,542,35
614,543,35
615,544,35
616,545,35
617,546,34
618,547,34
619,548,34
620,549,34
621,550,34
622,551,34
623,552,34
624,553,34
625,554,34
626,555,34
627,556,34
628,557,37
629,557,45
630,558,37
631,558,45
632,559,37
633,559,45
634,560,38
635,561,38
636,562,38
637,563,38
638,564,38
639,565,38
640,566,38
641,567,38
642,568,38
643,569,38
644,570,38
645,571,38
646,572,38
647,573,38
648,574,38
649,575,38
650,576,38
651,577,39
652,578,39
653,579,39
654,580,39
655,581,39
656,582,39
657,583,39
658,584,39
659,585,39
660,586,39
661,587,35
662,588,35
663,589,16
664,591,16
665,590,16
666,592,16
667,593,16
668,594,16
669,595,16
670,596,16
671,597,16
672,598,16
673,599,16
674,600,16
675,601,16
676,602,16
677,603,16
678,604,16
679,605,16
680,606,16
681,607,16
682,608,16
683,609,16
684,610,16
685,611,16
686,612,16
687,613,16
688,614,16
689,615,16
690,616,16
691,617,16
692,618,16
693,621,44
694,619,44
695,620,44
696,622,44
697,623,44
698,624,40
699,625,40
700,626,40
701,627,40
702,628,40
703,629,40
704,630,12
705,630,11
706,630,13
707,631,11
708,631,12
709,631,13
710,632,11
711,632,12
712,632,13
713,633,11
714,633,12
715,633,13
716,656,28
717,659,24
718,660,24
719,661,24
720,662,24
721,666,24
722,665,24
723,664,24
724,663,24
725,667,16
726,668,16
727,669,16
728,670,16
729,671,16
730,672,16
731,673,1
732,674,1
733,675,1
734,676,1
735,677,1
736,678,1
737,679,1
738,680,1
739,681,1
740,682,1
741,683,1
742,684,1
743,685,1
744,686,1
745,689,1
746,690,2
747,691,2
748,692,2
749,693,2
750,694,2
751,695,2
752,696,2
753,697,2
754,698,2
755,699,2
756,700,2
757,701,2
758,702,3
759,704,3
760,703,3
761,705,3
762,706,3
763,707,3
764,708,3
765,709,4
766,710,4
767,711,4
768,712,4
769,713,4
770,714,4
771,715,4
772,716,4
773,717,4
774,718,4
775,719,4
776,720,4
777,721,4
778,722,5
779,723,5
780,724,5
781,725,5
782,726,5
783,727,5
784,728,5
785,729,5
786,730,5
787,731,5
788,732,5
789,733,5
790,734,5
791,735,5
792,736,7
793,738,7
794,737,7
795,739,7
796,740,7
797,741,7
798,742,7
799,743,7
800,744,7
801,745,7
802,746,7
803,747,7
804,748,7
805,749,8
806,750,8
807,751,8
808,752,10
809,753,10
810,754,10
811,755,9
812,756,9
813,757,9
814,758,12
815,758,11
816,758,13
817,759,12
818,759,11
819,759,13
820,760,12
821,760,11
822,760,13
823,761,12
824,761,11
825,761,13
826,762,12
827,762,11
828,762,13
829,763,12
830,763,11
831,763,13
832,764,12
833,764,11
834,764,13
835,765,12
836,765,11
837,765,13
838,766,12
839,766,11
840,766,13
841,767,12
842,767,11
843,767,13
844,768,12
845,768,11
846,768,13
847,769,12
848,769,11
849,769,13
850,770,12
851,770,11
852,770,13
853,770,77
854,771,12
855,771,11
856,771,13
857,771,77
858,772,12
859,772,11
860,772,13
861,772,77
862,773,12
863,773,11
864,773,13
865,773,77
866,774,12
867,774,11
868,774,13
869,774,77
870,775,14
871,776,14
872,777,14
873,778,14
874,779,14
875,780,14
876,781,14
877,782,14
878,783,14
879,784,14
880,785,14
881,786,14
882,787,14
883,788,14
884,789,14
885,790,14
886,791,14
887,792,14
888,793,14
889,794,14
890,795,14
891,797,15
892,798,15
893,799,15
894,800,15
895,801,15
896,802,15
897,803,15
898,804,15
899,806,15
900,807,15
901,808,15
902,809,15
903,810,15
904,811,15
905,812,15
906,813,15
907,815,15
908,816,15
909,817,15
910,818,15
911,819,15
912,820,15
913,821,15
914,822,15
915,823,15
916,824,16
917,825,16
918,826,16
919,827,16
920,828,16
921,829,16
922,830,16
923,831,16
924,832,16
925,833,16
926,834,16
927,835,16
928,836,16
929,837,16
930,838,16
931,839,16
932,840,16
933,841,16
934,842,16
935,843,16
936,844,16
937,845,16
938,846,17
939,847,17
940,848,17
941,849,17
942,850,17
943,851,17
944,852,17
945,853,17
946,854,17
947,855,17
948,856,17
949,857,17
950,858,17
951,859,17
952,860,17
953,861,18
954,862,18
955,863,18
956,864,18
957,865,18
958,866,18
959,867,18
960,867,41
961,868,18
962,868,41
963,869,18
964,869,41
965,870,18
966,870,41
967,871,18
968,871,41
969,872,19
970,874,20
971,874,21
972,873,19
973,875,20
974,875,21
975,876,20
976,876,21
977,877,20
978,877,21
979,878,20
980,878,21
981,879,20
982,879,21
983,880,20
984,880,21
985,881,25
986,882,25
987,883,25
988,884,25
989,885,25
990,886,25
991,887,25
992,888,25
993,889,25
994,890,25
995,891,25
996,892,25
997,893,25
998,894,26
999,426,26
1000,895,26
1001,896,26
1002,897,26
1003,898,26
1004,899,26
1005,900,26
1006,901,26
1007,902,26
1008,903,26
1009,904,26
1010,905,26
1011,906,26
1012,907,26
1013,908,26
1014,909,26
1015,910,26
1016,911,26
1017,912,28
1018,913,28
1019,914,28
1020,915,28
1021,916,30
1022,917,30
1023,918,30
1024,919,30
1025,920,30
1026,921,30
1027,922,30
1028,923,30
1029,924,30
1030,925,30
1031,926,30
1032,927,30
1033,928,30
1034,928,33
1035,929,30
1036,929,33
1037,926,33
1038,927,33
1039,930,30
1040,930,33
1041,931,30
1042,931,33
1043,932,30
1044,932,33
1045,933,30
1046,933,33
1047,934,30
1048,934,33
1049,935,30
1050,935,33
1051,936,30
1052,936,33
1053,937,30
1054,937,33
1055,938,34
1056,925,33
1057,939,34
1058,940,34
1059,941,34
1060,942,34
1061,943,36
1062,944,36
1063,945,36
1064,946,36
1065,947,38
1066,948,38
1067,949,38
1068,950,38
1069,951,38
1070,952,38
1071,953,38
1072,954,38
1073,955,38
1074,956,38
1075,957,38
1076,958,38
1077,959,38
1078,960,38
1079,961,39
1080,962,39
1081,963,39
1082,964,28
1083,965,28
1084,966,3
1085,967,4
1086,968,4
1087,969,4
1088,970,4
1089,971,4
1090,972,4
1091,973,4
1092,974,4
1093,975,4
1094,976,4
1095,977,4
1096,978,4
1097,979,4
1098,980,4
1099,981,4
1100,982,4
1101,983,4
1102,984,4
1103,985,20
1104,985,21
1105,986,21
1106,986,20
1107,987,20
1108,987,21
1109,988,20
1110,988,21
1111,989,24
1112,990,24
1113,991,24
1114,992,24
1115,993,24
1116,994,29
1117,995,29
1118,996,29
1119,997,29
1120,998,29
1121,999,29
1122,1000,29
1123,1001,29
1124,1002,29
1125,1003,29
1126,1004,29
1127,1005,29
1128,1006,29
1129,1007,29
1130,1008,29
1131,1009,29
1132,1010,29
1133,1011,29
1134,1012,29
1135,1013,29
1136,1014,29
1137,1015,29
1138,1016,29
1139,1017,29
1140,1018,29
1141,1019,59
1142,1020,59
1143,1021,59
1144,1022,59
1145,1024,59
1146,1025,59
1147,1025,72
1148,1026,59
1149,1026,72
1150,1019,72
1151,1020,72
1152,1021,72
1153,1022,72
1154,1023,59
1155,1023,72
1156,1024,72
1157,1027,59
1158,1027,72
1159,1028,59
1160,1028,72
1161,1029,59
1162,1029,72
1163,1030,59
1164,1030,72
1165,1031,59
1166,1031,72
1167,1032,59
1168,1032,72
1169,1033,59
1170,1033,72
1171,1034,59
1172,1034,72
1173,1035,59
1174,1035,72
1175,1036,59
1176,1036,72
1177,1037,59
1178,1037,72
1179,1038,59
1180,1038,72
1181,1039,59
1182,1039,72
1183,1040,59
1184,1040,72
1185,1041,59
1186,1041,72
1187,1042,59
1188,1042,72
1189,1043,59
1190,1043,72
1191,1044,73
1192,1045,73
1193,1046,73
1194,1047,73
1195,1048,73
1196,1049,73
1197,1050,73
1198,1051,73
1199,1052,73
1200,1053,73
1201,1054,73
1202,1055,73
1203,1056,73
1204,1057,73
1205,1058,73
1206,1059,73
1207,1060,73
1208,1061,73
1209,1062,73
1210,1063,71
1211,1063,61
1212,1064,71
1213,1064,61
1214,1065,71
1215,1065,61
1216,1066,71
1217,1066,61
1218,1067,71
1219,1067,61
1220,1068,71
1221,1068,61
1222,1069,71
1223,1069,61
1224,1070,71
1225,1070,61
1226,1071,71
1227,1071,61
1228,1072,71
1229,1072,61
1230,1073,71
1231,1073,61
1232,1074,11
1233,1074,12
1234,1075,11
1235,1075,53
1236,1076,11
1237,1076,53
1238,1077,11
1239,1077,53
1240,1078,11
1241,1078,12
1242,1078,46
1243,1079,11
1244,1079,12
1245,1079,46
1246,1080,11
1247,1080,12
1248,1080,46
1249,1081,11
1250,1081,12
1251,1082,11
1252,1082,12
1253,1083,11
1254,1083,13
1255,1084,11
1256,1084,13
1257,1085,11
1258,1085,12
1259,1085,13
1260,1086,11
1261,1086,12
1262,1086,13
1263,1087,11
1264,1087,13
1265,1088,11
1266,1088,50
1267,1089,11
1268,1089,13
1269,1089,65
1270,1090,11
1271,1090,13
1272,1090,65
1273,1091,2
1274,1092,2
1275,1093,2
1276,1094,2
1277,1095,2
1278,1096,2
1279,1097,2
1280,1098,2
1281,1099,2
1282,1100,2
1283,1101,2
1284,1102,2
1285,1103,2
1286,1104,2
1287,1105,2
1288,1106,2
1289,1107,2
1290,1108,2
1291,1109,2
1292,1110,2
1293,1111,2
1294,1112,52
1295,1112,63
1296,1113,52
1297,1113,63
1298,1114,52
1299,1114,63
1300,1115,52
1301,1115,63
1302,1116,52
1303,1116,63
1304,1117,52
1305,1117,63
1306,1118,52
1307,1118,63
1308,1119,52
1309,1119,63
1310,1120,52
1311,1120,63
1312,1121,52
1313,1121,63
1314,1122,52
1315,1122,63
1316,1123,52
1317,1123,63
1318,1124,52
1319,1124,63
1320,1125,52
1321,1125,63
1322,1126,52
1323,1126,63
1324,1127,52
1325,1127,63
1326,1128,30
1327,1128,33
1328,1129,30
1329,1129,33
1330,1130,30
1331,1130,33
1332,1131,30
1333,1131,33
1334,1132,30
1335,1132,33
1336,1133,30
1337,1133,33
1338,1134,30
1339,1134,33
1340,1135,30
1341,1135,33
1342,1136,30
1343,1136,33
1344,1137,30
1345,1137,33
1346,1138,30
1347,1138,33
1348,1139,30
1349,1139,33
1350,1140,30
1351,1140,33
1352,1141,30
1353,1141,33
1354,1142,30
1355,1142,33
1356,1143,30
1357,1143,33
1358,1144,30
1359,1144,33
1360,1145,30
1361,1145,33
1362,1146,30
1363,1146,33
1364,1147,26
1365,1148,26
1366,1149,26
1367,1150,26
1368,1151,26
1369,1152,26
1370,1153,26
1371,1154,26
1372,1155,26
1373,1156,7
1374,1157,7
1375,1158,55
1376,1160,7
1377,1161,7
1378,1163,55
1379,1164,55
1380,1165,7
1381,1166,55
1382,1167,55
1383,1168,7
1384,1169,7
1385,1170,55
1386,1171,7
1387,1172,7
1388,1173,7
1389,1174,7
1390,1175,55
1391,1176,55
1392,1177,55
1393,1178,7
1394,1179,7
1395,1180,7
1396,1181,7
1397,1182,55
1398,1183,55
1399,1184,55
1400,1185,7
1401,1186,55
1402,1187,7
1403,1189,7
1404,1190,7
1405,1191,55
1406,1192,7
1407,1193,7
1408,1194,55
1409,1195,55
1410,1196,55
1411,1197,55
1412,1198,55
1413,1199,17
1414,1200,17
1415,1201,17
1416,1202,17
1417,1203,17
1418,1204,17
1419,1205,17
1420,1206,17
1421,1207,17
1422,1208,17
1423,1209,17
1424,1210,17
1425,1211,17
1426,1212,17
1427,1213,5
1428,1214,5
1429,1215,5
1430,1216,5
1431,1217,5
1432,1218,5
1433,1219,5
1434,1220,5
1435,1222,5
1436,1223,5
1437,1224,5
1438,1225,24
1439,1226,24
1440,1227,24
1441,1228,24
1442,1229,24
1443,1230,24
1444,1231,24
1445,1232,24
1446,1233,24
1447,1234,24
1448,1235,24
1449,1236,24
1450,1237,48
1451,1237,34
1452,1238,48
1453,1238,34
1454,1239,48
1455,1239,34
1456,1240,48
1457,1240,34
1458,1241,48
1459,1241,34
1460,1242,48
1461,1242,34
1462,1243,48
1463,1243,34
1464,1244,48
1465,1244,34
1466,1245,48
1468,1245,34
1469,1246,48
1470,1246,34
1471,1247,48
1472,1247,34
1473,1248,48
1474,1248,34
1475,1249,48
1476,1249,34
1477,1250,48
1478,1250,34
1479,1251,48
1480,1251,34
1481,1252,48
1482,1252,34
1483,1253,48
1484,1253,34
1485,1254,48
1486,1254,34
1487,1255,48
1488,1255,34
1489,1256,9
1490,1256,54
1491,1256,67
1492,1258,9
1493,1258,54
1494,1258,67
1495,1257,9
1496,1257,54
1497,1257,67
1498,1259,9
1499,1259,54
1500,1259,67
1501,1260,9
1502,1260,54
1503,1260,67
1504,1261,9
1505,1261,54
1506,1261,67
1507,1262,9
1508,1262,54
1509,1262,67
1510,1263,9
1511,1263,54
1512,1263,67
1513,1264,9
1514,1264,54
1515,1264,67
1516,1265,9
1517,1265,54
1518,1265,67
1519,1266,75
1520,1266,68
1521,1267,75
1522,1267,68
1523,1268,75
1524,1268,68
1525,1269,75
1526,1269,68
1527,1270,75
1528,1270,68
1529,1271,75
1530,1271,68
1531,1272,75
1532,1272,68
1533,1273,75
1534,1273,68
1535,1274,75
1536,1274,68
1537,1275,75
1538,1275,68
1539,1276,75
1540,1276,68
1541,1277,75
1542,1277,68
1543,1278,69
1544,1279,69
1545,1280,58
1546,1280,66
1547,1281,58
1548,1281,66
1549,1282,58
1550,1282,66
1551,1283,58
1552,1283,66
1553,1284,58
1554,1284,66
1555,1285,58
1556,1285,66
1557,1286,58
1558,1286,66
1559,1287,58
1560,1287,66
1561,1288,58
1562,1288,66
1563,1289,64
1564,1289,25
1565,1290,64
1566,1290,25
1567,1291,64
1568,1291,25
1569,1292,64
1570,1292,25
1571,1293,64
1572,1293,25
1573,1294,64
1574,1294,25
1575,1295,64
1576,1295,25
1577,1296,64
1578,1296,25
1579,1297,64
1580,1297,25
1581,1298,64
1582,1298,25
1583,1299,64
1584,1299,25
1585,1300,64
1586,1300,25
1587,1301,64
1588,1301,25
1589,1302,64
1590,1302,25
1591,1303,64
1592,1303,25
1593,1304,4
1594,1304,43
1595,1305,4
1596,1305,43
1597,1306,4
1598,1306,43
1599,1307,28
1600,1307,47
1601,1308,28
1602,1308,47
1603,1309,28
1604,1309,47
1605,1310,28
1606,1310,47
1607,1311,28
1608,1311,47
1609,1312,28
1610,1312,47
1611,1313,28
1612,1313,47
1613,282,17
1614,300,17
1615,305,17
1616,351,41
1617,351,18
1618,20,1
1619,111,3
1620,201,15
1621,236,15
1622,255,15
1623,368,20
1624,368,21
1625,410,25
1626,427,26
1627,433,26
1628,541,35
1629,657,28
1630,658,28
1631,687,1
1632,688,1
1633,796,14
1634,805,15
1635,814,15
1636,1159,55
1637,1162,55
1638,1188,7
1639,1221,5
1640,1314,78
1641,1315,78
1642,1316,78
1643,1317,78
1644,1314,78
1645,1314,78
1646,1314,78
1647,1318,78
1648,1319,78
1649,1320,78
1650,1321,78
1651,1322,78
1652,1323,78
1653,1324,78
1654,1325,78
1655,1326,78
1656,1328,78
1657,1329,78
1658,1330,78
1659,1331,78
1660,1332,78
1661,1333,1
1662,1334,1
1663,1335,1
1664,1336,1
1665,1337,1
1666,1337,1
1667,1338,1
1668,1339,1
1669,1340,2
1670,1341,2
1671,1342,2
1672,1343,4
1673,1344,4
1674,1345,4
1675,1346,4
1676,1347,4
1677,1348,4
1678,1349,5
1679,1349,6
1680,1350,5
1681,1350,6
1682,1351,5
1683,1351,6
1684,1352,5
1685,1352,6
1686,1353,75
1687,1353,8
1688,1354,75
1689,1354,8
1690,1355,75
1691,1355,8
1692,1356,75
1693,1356,8
1694,1357,11
1695,1358,11
1696,1359,11
1697,1360,11
1698,1361,11
1699,1362,11
1700,1363,11
1701,1364,14
1702,1365,14
1703,1366,14
1704,1367,14
1705,1368,14
1706,1369,14
1707,1370,14
1708,1371,14
1709,1372,15
1710,1373,15
1711,1374,15
1712,1375,15
1713,1376,15
1714,1377,15
1715,1378,15
1716,1379,15
1717,1380,15
1718,1381,15
1719,1382,15
1720,1383,15
1721,1384,15
1722,1385,17
1723,1386,17
1724,1387,17
1725,1388,17
1726,1389,17
1727,1390,17
1728,1391,17
1729,1392,17
1730,1393,41
1731,1393,18
1732,1394,18
1733,1394,41
1734,1395,18
1735,1395,41
1736,1396,18
1737,1396,41
1738,1397,18
1739,1397,41
1740,1398,20
1741,1399,20
1742,1400,20
1743,1401,20
1744,1402,24
1745,1403,24
1746,1404,24
1747,1405,24
1748,1406,18
1749,1406,41
1750,1407,19
1751,1408,19
1752,1409,19
1753,1398,79
1754,1399,79
1755,1400,79
1756,1401,79
1757,1398,81
1758,1399,81
1759,1400,81
1760,1401,81
1761,1410,25
1762,1411,25
1763,1412,25
1764,1413,25
1765,1414,25
1766,1415,25
1767,1416,25
1768,1417,25
1769,1418,25
1770,1419,25
1771,1420,26
1772,1421,26
1773,1422,26
1774,1423,26
1775,1424,26
1776,1425,26
1777,1426,26
1778,1427,26
1779,1428,83
1780,1428,84
1781,1429,83
1782,1429,84
1783,1430,83
1784,1430,84
1785,1431,28
1786,1432,29
1787,1433,29
1788,1434,29
1789,1435,29
1790,1436,29
1791,1437,29
1792,1438,30
1793,1438,33
1794,1439,30
1795,1439,33
1796,1440,30
1797,1440,33
1798,1441,30
1799,1441,33
1800,1442,30
1801,1442,33
1802,1443,34
1803,1444,34
1804,1445,34
1805,1446,34
1806,1446,34
1807,1447,34
1808,1448,34
1809,1449,34
1810,1450,34
1811,1451,38
1812,1452,38
1813,1453,38
1814,1454,38
1815,1455,38
1816,1456,38
1817,1457,38
1818,1458,39
1819,1459,39
1820,1460,39
1821,1461,39
1822,1462,39
1823,1463,7
1824,1464,7
1825,1465,7
1826,1466,16
1827,1468,16
1828,1469,16
1829,1470,16
1830,1471,16
1831,1472,16
1832,1473,16
1833,1474,85
1834,1474,86
1835,1475,85
1836,1475,86
1837,1476,85
1838,1476,86
1839,1477,85
1840,1477,86
1841,1478,85
1842,1478,86
1843,1479,85
1844,1479,86
1845,1480,85
1846,1480,86
1847,1481,85
1848,1481,86
1849,1482,85
1850,1482,86
1851,1483,85
1852,1483,86
1853,1485,85
1854,1485,86
1855,1485,85
1856,1485,86
1857,1486,85
1858,1486,86
1859,1487,85
1860,1487,86
1861,1488,85
1862,1488,86
1863,1489,85
1864,1489,86
1865,1490,85
1866,1490,86
1867,1491,85
1868,1491,86
1869,1492,85
1870,1492,86
1871,1493,85
1872,1493,86
1873,1494,85
1874,1494,86
1875,1495,85
1876,1495,86
1877,1496,85
1878,1496,86
1879,1497,85
1880,1497,86
1881,1498,85
1882,1498,86
1883,1499,85
1884,1499,86
1885,1500,85
1886,1500,86
1887,1501,85
1888,1501,86
1889,1502,85
1890,1502,86
1891,1503,85
1892,1503,86
1893,1504,85
1894,1504,86
1895,1505,85
1896,1505,86
1897,1506,85
1898,1506,86
1899,1507,85
1900,1507,86
1901,1508,85
1902,1508,86
1903,1509,85
1904,1509,86
1905,1510,85
1906,1510,86
1907,1511,85
1908,1511,86
1909,1512,85
1910,1512,86
1911,1513,1
1912,1513,1
1913,1513,1
1914,1513,60
1915,1518,2
1916,1513,1
1917,1514,1
1918,1515,1
1919,1516,1
1920,1517,1
1921,1519,1
1922,1520,1
1923,1521,1
1924,1522,87
1925,1523,2
1926,1523,2
1927,1525,2
1928,1526,87
1929,1527,87
1930,1528,87
1931,1528,87
1932,1529,2
1933,1530,87
1934,1531,87
1935,1532,2
1936,1533,87
1937,1534,2
1938,1535,87
1939,1536,2
1940,1537,87
1941,1538,87
1942,1539,87
1943,1540,87
1944,1541,87
1945,1542,4
1946,1543,4
1947,1544,6
1948,1545,4
1949,1546,6
1950,1547,4
1951,1548,6
1952,1549,4
1953,1550,6
1954,1551,4
1955,1552,8
1956,1552,75
1957,1553,8
1958,1553,75
1959,1554,10
1960,1555,8
1961,1555,75
1962,1556,8
1963,1556,75
1964,1557,90
1965,1557,14
1966,1558,11
1967,1559,11
1968,1560,90
1969,1560,14
1970,1561,11
1971,1562,90
1972,1562,14
1973,1563,11
1974,1564,11
1975,1565,90
1976,1565,14
1977,1566,90
1978,1566,14
1979,1567,90
1980,1567,14
1981,1568,11
1982,1569,11
1983,1570,11
1984,1571,90
1985,1571,14
1986,1572,11
1987,1573,11
1988,1574,90
1989,1574,14
1990,1575,90
1991,1575,14
1992,1576,90
1993,1576,14
1994,1577,90
1995,1577,14
1996,1578,90
1997,1578,14
1998,1579,90
1999,1579,14
2000,1580,16
2001,1586,41
2002,1586,18
2003,1587,41
2004,1587,18
2005,1588,41
2006,1588,18
2007,1589,41
2008,1589,18
2009,1590,20
2010,1590,91
