"ENST_Id","ENST_Entscheidung","ENST_Stichwort"
610,405,132
611,405,225
612,406,152
613,406,220
614,406,69
615,407,152
616,407,82
617,407,37
618,408,111
619,408,213
620,409,82
621,409,97
622,410,152
623,410,132
624,410,111
625,411,111
626,411,221
627,411,70
629,412,111
630,413,111
631,413,127
632,414,132
633,414,225
634,415,80
635,415,82
636,415,220
637,416,220
638,416,107
639,417,213
640,417,132
641,418,158
642,418,82
643,418,84
644,419,158
645,419,97
646,419,220
647,419,75
648,420,132
649,420,225
650,421,182
651,421,82
652,421,47
653,422,80
654,422,82
655,422,152
656,422,119
657,423,80
658,423,97
659,423,152
661,423,103
662,424,144
663,424,225
664,425,160
665,425,51
666,426,158
667,426,69
668,426,51
669,426,221
670,427,82
671,427,97
672,428,158
673,428,47
674,428,70
675,429,132
676,429,209
677,430,225
678,430,82
679,430,84
680,430,215
681,430,122
682,425,122
683,426,122
684,431,158
685,431,122
686,431,51
687,431,69
688,432,113
689,432,103
690,433,76
691,433,82
692,433,84
693,433,215
694,433,158
695,434,158
696,434,70
697,434,47
698,435,194
699,435,207
700,436,198
702,436,206
703,436,32
704,435,32
705,437,158
706,437,124
708,437,13
709,437,97
710,437,15
711,440,47
712,441,200
713,441,225
714,442,152
715,442,133
716,442,225
717,443,158
719,444,158
721,444,82
722,444,79
723,444,83
725,444,75
726,443,82
727,445,182
728,446,194
729,446,93
730,447,152
731,448,132
732,449,144
733,449,111
734,450,160
735,451,152
736,451,82
737,451,119
738,451,225
739,452,152
740,452,70
741,453,132
742,453,152
743,453,119
744,454,220
745,454,111
746,455,32
747,455,194
748,455,187
749,455,82
750,456,119
752,456,47
753,456,135
754,457,152
755,457,82
756,457,223
757,449,117
758,450,117
759,458,152
760,458,132
761,458,223
762,457,132
763,459,82
764,459,175
766,17,13
767,17,225
768,7,225
769,20,220
770,29,221
771,40,220
772,60,220
773,61,220
774,118,220
775,125,220
777,133,182
778,133,111
779,133,144
780,135,111
782,147,223
783,147,140
784,181,221
785,181,159
786,181,218
787,460,117
788,460,160
789,182,47
790,183,182
791,183,210
793,185,220
795,186,194
796,186,208
799,187,135
800,187,97
801,187,172
803,188,140
804,188,119
805,203,87
806,205,140
808,205,158
811,208,75
812,210,144
814,220,220
815,225,97
816,229,144
817,230,144
818,254,97
819,273,220
821,275,107
822,281,222
824,282,119
825,285,77
826,286,187
827,287,111
828,287,225
829,288,119
830,340,132
831,341,209
832,345,209
833,363,97
834,372,97
835,372,37
836,372,117
837,372,51
838,372,47
839,743,223
840,63,217
841,64,217
844,200,226
847,207,77
848,216,13
849,218,226
850,218,122
852,223,217
853,223,216
854,291,119
855,291,140
856,291,97
857,291,217
858,306,140
859,306,111
861,359,217
862,359,47
863,343,132
864,343,133
865,144,172
866,286,227
867,286,208
868,300,111
869,300,211
870,242,97
871,244,217
872,244,216
873,222,77
874,216,151
875,216,153
876,214,111
877,65,217
878,211,228
879,282,111
881,212,229
882,121,49
883,115,229
884,1314,132
885,1314,228
886,1314,148
887,1314,133
888,1315,132
889,1315,133
890,1315,75
891,1315,119
892,1315,148
893,1314,75
895,1316,75
898,1316,155
899,1316,119
900,1316,208
901,1316,85
902,1316,102
903,1317,152
904,1317,111
905,1317,79
906,1317,82
908,1317,87
909,1317,94
910,1317,97
911,1318,132
912,1318,133
913,1318,148
914,1318,228
915,1319,175
916,1320,152
917,1320,80
918,1321,213
920,1321,155
921,1322,144
922,1323,77
923,1323,158
924,1324,187
925,1324,89
926,1324,120
927,1324,208
928,1325,149
929,1325,150
930,1325,111
931,1326,111
932,1326,152
933,1326,77
